"track.id","track.name","track.artist","track.popularity","track.album.id","track.album.name","track.album.release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"6UelLqGlWMcVH1E5c4H7lY","Watermelon Sugar","Harry Styles",90,"7xV2TzoaVc0ycW7fwBwAml","Fine Line","2019-12-13","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000
"1Slwb6dOYkBlWal1PGtnNg","Thinking out Loud","Ed Sheeran",67,"6NoBzYmh5gUusGPCfg0pct","x (Wembley Edition)","2013","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560
"4vOoQh9MhS9pyrbvc8LyMz","Can't Tame Her","Zara Larsson",83,"7ytOBcbbFsYDHojnMP5Gs7","Can't Tame Her","2023-01-26","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.584,0.915,6,-3.199,0,0.11,0.00686,0.000155,0.098,0.57,181.882,196940
"4jbmgIyjGoXjY01XxatOx6","Dark Horse","Katy Perry",81,"3jB9yFDwRe3KhtGnHXJntk","PRISM","2013-01-01","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.647,0.585,6,-6.123,1,0.0512,0.00314,0,0.165,0.353,131.934,215672
"09CtPGIpYB4BrO8qb1RGsF","Sorry","Justin Bieber",83,"6Fr2rQkZ383FcMqFyT7yPr","Purpose (Deluxe)","2015-11-13","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.654,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.41,99.945,200787
"3PfIrDoz19wz7qK7tYeu62","Don't Start Now","Dua Lipa",83,"7fJJK56U9fHixgO0HQkhtI","Future Nostalgia","2020-03-27","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,183290
"2hrUO4drrO63i7FYbCLBl2","Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",74,"1MvF4ulZKH7SaDQs9rE5nc","What Is Love? (Deluxe Edition)","2018-11-30","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.717,0.73,9,-4.729,0,0.0568,0.383,0,0.398,0.792,102.002,251173
"27SdWb2rFzO6GWiYDBTD9j","Cheap Thrills","Sia",80,"77jAfTh3KH9K2reMOmTgOh","This Is Acting","2016-01-29","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667
"2tpWsVSb9UEmDRxAl1zhX1","Counting Stars","OneRepublic",86,"20lOt6G8MHv8ZO7ViOmiP7","Native","2013-01-01","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.118,0.477,122.016,257267
"3QGsuHI8jO1Rx4JWLUh9jd","Treat You Better","Shawn Mendes",87,"1ne2D0NxoGyZd31gAM4HNd","Illuminate","2017-04-20","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,187973
"5cF0dROlMOK5uNZtivgu50","Attention","Charlie Puth",85,"0mZIUXje90JtHxPNzWsJNR","Voicenotes","2018-05-11","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,208787
"7qvxFz3JodM0A7xEM7k3YD","Chained To The Rhythm","Katy Perry",71,"0UlbGi4oAth8s6rwaGSU8Z","Witness (Deluxe)","2017-06-09","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.562,0.8,0,-5.404,1,0.112,0.0814,0,0.199,0.471,95.029,237733
"2y4lAQpi5VTNLu2ldeTdUH","We Can't Stop","Miley Cyrus",81,"3RDqXDc1bAETps54MSSOW0","Bangerz (Deluxe Version)","2013-10-04","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.613,0.622,1,-5.794,0,0.0334,0.00882,0,0.37,0.484,80.003,231240
"7BKLCZ1jbUBVqRi2FVlTVw","Closer","The Chainsmokers",86,"0rSLgV8p5FzfnqlEk4GzxE","Closer","2016-07-29","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
"3e9HZxeyfWwjeyPAMmWSSQ","thank u, next","Ariana Grande",83,"2fYhqwDWXjbpjaIJPEfKFw","thank u, next","2019-02-08","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,207320
"6cpk00i5TxCqSeqNi2HuIe","One More Night","Maroon 5",78,"6ijGiBcBfUwkoyHn5VUHU2","Overexposed Track By Track","2012-01-01","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.716,0.821,5,-3.435,0,0.0314,0.0558,0,0.0844,0.618,92.997,219547
"0SiywuOBRcynK0uKGWdCnn","Bad Romance","Lady Gaga",84,"6rePArBMb5nLWEaY9aQqL4","The Fame Monster (Deluxe Edition)","2009-11-05","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573
"4VrWlk8IQxevMvERoX08iC","Chandelier","Sia",82,"3xFSl9lIRaYXIYkIn3OIl9","1000 Forms Of Fear","2014-07-04","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,216120
"3zkWCteF82vJwv0hRLba76","Stitches","Shawn Mendes",82,"0CnQ0JQajNswRjPkNYVG8m","Handwritten","2015-04-14","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.746,0.754,1,-6.684,1,0.0676,0.0152,0,0.0486,0.746,149.882,206880
"2vwlzO0Qp8kfEtzTsCXfyE","Wrecking Ball","Miley Cyrus",82,"3RDqXDc1bAETps54MSSOW0","Bangerz (Deluxe Version)","2013-10-04","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.53,0.422,5,-6.262,1,0.0342,0.407,0,0.107,0.349,119.964,221360
"72gv4zhNvRVdQA0eOenCal","Symphony (feat. Zara Larsson)","Clean Bandit",78,"1MvF4ulZKH7SaDQs9rE5nc","What Is Love? (Deluxe Edition)","2018-11-30","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.715,0.605,0,-5.128,0,0.0428,0.239,1.41e-05,0.189,0.454,122.956,212733
