"","track.id","track.name","track.artist","track.popularity","track.album.id","track.album.name","track.album.release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"181","0dzMcLqdF9NnNT3CgXJ5XG","Dying in Your Arms","Trivium",46,"21mOhkOtrPVySn4D2SbOAF","Ascendancy (Special Edition)","2005-03-07","Metal Essentials","37i9dQZF1DWWOaP4H0w5b0","music","metal",0.449,0.934,9,-3.623,0,0.0535,2.7e-05,0.000113,0.0734,0.698,159.953,173000
"164","68osIGtVjM7QWVe6pazLHj","Shadow Moses","Bring Me The Horizon",64,"6IYPmM3xsOPL2XPSvf1ZAz","Sempiternal (Expanded Edition)","2013-04-01","Metal Essentials","37i9dQZF1DWWOaP4H0w5b0","music","metal",0.456,0.985,6,-2.949,1,0.207,0.000235,0.00368,0.103,0.183,143.006,243320
"252","5SMolo3bLUix6sKOPuv60C","Winning Where Losing Is All","Solution .45",17,"20nWKxFCBQx9GIhzDmfKOh","Nightmares in the Waking State, Pt. 1","2015-11-20","Metal","1guEpZ6NKRPsvmSwWtEtbU","music","metal",0.391,0.954,2,-5.598,1,0.0879,2.09e-05,0.322,0.376,0.344,159.975,358360
"41","7fcfNW0XxTWlwVlftzfDOR","Walk","Pantera",72,"7kW0cpKgSVsEqcc8xgbSb0","Vulgar Display of Power","1992-02-21","Metal Mix","37i9dQZF1EQpgT26jgbgRI","music","metal",0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,315120
"174","0jI2IdL3Bco0a3IPc7pHbY","Thunder Kiss '65","White Zombie",0,"0hSRCjd8f3eGCEdeXD0hoL","La Sexorcisto: Devil Music Volume 1","1992-01-01","Metal Essentials","37i9dQZF1DWWOaP4H0w5b0","music","metal",0.684,0.859,9,-9.772,1,0.0401,0.000587,0.00285,0.467,0.517,112.663,234200
"418","1q9Mf29WFKeLbgOimPm1hl","Matter Of Time","Fight The Fade",46,"2TuYShywQwSIJt5htfRqH2","Matter Of Time","2021-05-26","Kickass Metal","37i9dQZF1DWTcqUzwhNmKv","music","metal",0.546,0.883,1,-2.691,1,0.0531,7.17e-05,5e-05,0.627,0.399,119.998,206250
"424","2rrwVJ0ji9HcO3gG5Y3GxY","Right Here Waiting (feat. Richard Marx)","Matthew K. Heafy",43,"1B4BDjYAVXwO42BbKI1CrB","Right Here Waiting (feat. Richard Marx)","2021-06-09","Kickass Metal","37i9dQZF1DWTcqUzwhNmKv","music","metal",0.438,0.978,0,-2.932,1,0.121,7.12e-06,0.829,0.176,0.146,105.975,212123
"517","73XEi2vkcuHWF2m9wiOfbu","Care","Dance Gavin Dance",54,"6rBnEJJUih41OU4AemGs4y","Artificial Selection","2018-06-08","METALCORE","79QHayucQm6M4wUlUbhQNQ","music","metal",0.256,0.965,6,-3.041,0,0.0926,0.0729,0,0.274,0.548,157.034,265606
"110","1eajy6fnktZk1rLVYWXr2P","Shedding Skin","Pantera",48,"70GAqt2avSiKBJ2IEymou1","Far Beyond Driven","1994","METAL WORKOUT MUSIC","4WZS2CWrUd86DUDJnsdXEq","music","metal",0.34,0.967,4,-7.505,1,0.105,0.000377,0.351,0.156,0.407,108.325,336800
"489","3HhaSocKwTptze7PySNZlW","Paranoia","A Day To Remember",63,"5rSgMFmmuaKQxma4bSEviU","Bad Vibrations (Deluxe Edition)","2016-09-02","METALCORE","79QHayucQm6M4wUlUbhQNQ","music","metal",0.409,0.992,3,-2.803,0,0.108,4.82e-05,2.03e-06,0.1,0.344,149.859,200677
